akshara,codepoints,level,visual_key,glyph_count_noto,renderable,fused_noto,fused_mn,fused_sangam,main_glyph,mod_parts,nexts,parts_nfd,reading,wiki_freq,in_454
ඣ්‍රො,U+0DA3 U+0DCA U+200D U+0DBB U+0DDC,L8_zwj_conj_dv,74-33-142-66,4,True,False,False,False,ඣ,SINHALA VOWEL SIGN KOMBUVA@PRE + SINHALA VOWEL SIGN AELA-PILLA@RIGHT,ර,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN KOMBUVA + SINHALA VOWEL SIGN AELA-PILLA,jha-ro,0,False
ඣ්‍රෝ,U+0DA3 U+0DCA U+200D U+0DBB U+0DDD,L8_zwj_conj_dv,74-195-142-66,4,True,False,False,False,ඣ,SINHALA VOWEL SIGN KOMBUVA@PRE + SINHALA VOWEL SIGN AELA-PILLA@RIGHT + SINHALA SIGN AL-LAKUNA@POST,ර,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN KOMBUVA + SINHALA VOWEL SIGN AELA-PILLA + SINHALA SIGN AL-LAKUNA,jha-rō,0,False
ඣ්‍රෞ,U+0DA3 U+0DCA U+200D U+0DBB U+0DDE,L8_zwj_conj_dv,74-33-142-80,4,True,False,False,False,ඣ,SINHALA VOWEL SIGN KOMBUVA@PRE + SINHALA VOWEL SIGN GAYANUKITTA@POST,ර,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN KOMBUVA + SINHALA VOWEL SIGN GAYANUKITTA,jha-rau,0,False
ඣ්‍රෟ,U+0DA3 U+0DCA U+200D U+0DBB U+0DDF,L8_zwj_conj_dv,33-142-80,3,True,False,False,False,ඣ,SINHALA VOWEL SIGN GAYANUKITTA@POST,ර,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN GAYANUKITTA,jha-ra+U+0DDF,0,False
ඣ්‍ර්,U+0DA3 U+0DCA U+200D U+0DBB U+0DCA,L8_zwj_conj_dv,195-142,2,True,False,True,True,ඣ,hal@TOP,ර,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA SIGN AL-LAKUNA,jha-r,0,False
ඣ්‍යා,U+0DA3 U+0DCA U+200D U+0DBA U+0DCF,L8_zwj_conj_dv,33-128-66,3,True,False,False,False,ඣ,SINHALA VOWEL SIGN AELA-PILLA@RIGHT,ය,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN AELA-PILLA,jha-yā,0,False
ඣ්‍යැ,U+0DA3 U+0DCA U+200D U+0DBA U+0DD0,L8_zwj_conj_dv,33-128-67,3,True,False,False,False,ඣ,SINHALA VOWEL SIGN KETTI AEDA-PILLA@RIGHT,ය,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN KETTI AEDA-PILLA,jha-yæ,0,False
ඣ්‍යෑ,U+0DA3 U+0DCA U+200D U+0DBA U+0DD1,L8_zwj_conj_dv,33-128-68,3,True,False,False,False,ඣ,SINHALA VOWEL SIGN DIGA AEDA-PILLA@RIGHT,ය,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN DIGA AEDA-PILLA,jha-yǣ,0,False
ඣ්‍යි,U+0DA3 U+0DCA U+200D U+0DBA U+0DD2,L8_zwj_conj_dv,33-309,2,True,False,False,False,ඣ,SINHALA VOWEL SIGN KETTI IS-PILLA@ABOVE,ය,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN KETTI IS-PILLA,jha-yi,0,False
ඣ්‍යී,U+0DA3 U+0DCA U+200D U+0DBA U+0DD3,L8_zwj_conj_dv,33-371,2,True,False,False,False,ඣ,SINHALA VOWEL SIGN DIGA IS-PILLA@ABOVE,ය,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN DIGA IS-PILLA,jha-yī,0,False
