akshara,codepoints,freq
"ව්‍යා","U+0DC0 U+0DCA U+200D U+0DBA U+0DCF",13675
"න්දි","U+0DB1 U+0DCA U+0DAF U+0DD2",13458
"පේ","U+0DB4 U+0DDA",13351
"අං","U+0D85 U+0D82",13343
"බෝ","U+0DB6 U+0DDD",13329
"ර්ථ","U+0DBB U+0DCA U+0DAE",12971
"කෘ","U+0D9A U+0DD8",12915
"ස්තු","U+0DC3 U+0DCA U+0DAD U+0DD4",12771
"තො","U+0DAD U+0DDC",12313
"ඛ්‍යා","U+0D9B U+0DCA U+200D U+0DBA U+0DCF",12279
"ණා","U+0DAB U+0DCF",12269
"රො","U+0DBB U+0DDC",12186
"ද්‍ර","U+0DAF U+0DCA U+200D U+0DBB",12045
"ලො","U+0DBD U+0DDC",11800
"ක්ක","U+0D9A U+0DCA U+0D9A",11719
"න්තු","U+0DB1 U+0DCA U+0DAD U+0DD4",11521
"යැ","U+0DBA U+0DD0",11515
"ඡ","U+0DA1",11514
"ර්ෂ","U+0DBB U+0DCA U+0DC2",11495
"භි","U+0DB7 U+0DD2",11476
"ස්ක","U+0DC3 U+0DCA U+0D9A",11438
"ඹ","U+0DB9",11370
"ෂි","U+0DC2 U+0DD2",11284
"ෂ්පා","U+0DC2 U+0DCA U+0DB4 U+0DCF",11199
"න්සේ","U+0DB1 U+0DCA U+0DC3 U+0DDA",10989
"ශ්‍ය","U+0DC1 U+0DCA U+200D U+0DBA",10982
"ළා","U+0DC5 U+0DCF",10740
"ක්ව","U+0D9A U+0DCA U+0DC0",10730
"සූ","U+0DC3 U+0DD6",10381
"බූ","U+0DB6 U+0DD6",10364
"වෘ","U+0DC0 U+0DD8",10328
"ටෙ","U+0DA7 U+0DD9",10326
"නෝ","U+0DB1 U+0DDD",10297
"ල්ප","U+0DBD U+0DCA U+0DB4",10252
"සෝ","U+0DC3 U+0DDD",9835
"ක්ති","U+0D9A U+0DCA U+0DAD U+0DD2",9790
"ඵ","U+0DB5",9624
"ර්තා","U+0DBB U+0DCA U+0DAD U+0DCF",9493
"මෝ","U+0DB8 U+0DDD",9484
"ඥ","U+0DA5",9112
"ඹු","U+0DB9 U+0DD4",8964
"ශ්‍රි","U+0DC1 U+0DCA U+200D U+0DBB U+0DD2",8963
"සෑ","U+0DC3 U+0DD1",8914
"තෝ","U+0DAD U+0DDD",8761
"පෑ","U+0DB4 U+0DD1",8745
"ම්ප","U+0DB8 U+0DCA U+0DB4",8739
